drug_1,drug_2,relation_type,severity,mention_count,evidence_sentence
Clozapine,atropine,effect,Moderate,1,Clozapine may potentiate the hypotensive effects of antihypertensive drugs and the anticholinergic effects of atropine-type drugs.
Sympathomimetics,mecamylamine,effect,Moderate,2,"The antihypertensive effects of methyldopa, mecamylamine, reserpine, and veratrum alkaloids may be reduced by sympathomimetics."
Abciximab,Activase,effect,Moderate,1,"In addition to bleeding associated with heparin and vitamin K antagonists, drugs that alter platelet function (such as acetylsalicylic acid, dipyridamole and Abciximab) may increase the risk of bleeding if administered prior to, during, or after Activase therapy."
EQUETROTM,contraceptives,mechanism,High,1,"Agents that have been found, or are expected to have decreased plasma levels in the presence of EQUETROTM due to induction of CYP enzymes are the following: Acetaminophen, alprazolam, amitriptyline, bupropion, buspirone, citalopram, clobazam, clonazepam, clozapine, cyclosporin, delavirdine, desipram"
Tagamet,tricyclic antidepressants,mechanism,High,1,"Tagamet, apparently through an effect on certain microsomal enzyme systems, has been reported to reduce the hepatic metabolism of warfarin-type anticoagulants, phenytoin, propranolol, nifedipine, chlordiazepoxide, diazepam, certain tricyclic antidepressants, lidocaine, theophylline and metronidazole"
Cytochalasin D,carbachol,effect,Moderate,2,Cytochalasin D inhibited the carbachol-stimulated intracellular Ca(2+) concentration ([Ca(2+)](i)) increase due to release from the Ca(2+) store.
INDOCIN,potassium-sparing diuretics,effect,Moderate,2,"In some patients, the administration of INDOCIN can reduce the diuretic, natriuretic, and antihypertensive effects of loop, potassium-sparing, and thiazide diuretics."
Netilmicin,loop diuretics,advise,Moderate,1,Netilmicin should not be administered concomitantly with potent loop diuretics such as furosemide and ethacrynic acid as the potential for ototoxicity is enhanced by the combination.
itraconazole,gefitinib,mechanism,High,2,"Substances that are potent inhibitors of CYP3A4 activity (eg, ketoconazole and itraconazole) decrease gefitinib metabolism and increase gefitinib plasma concentrations."
quinidine,carvedilol,effect,Moderate,1,"poor metabolizers of debrisoquin: Interactions of carvedilol with strong inhibitors of CYP2D6 (such as quinidine, fluoxetine, paroxetine, and propafenone) have not been studied, but these drugs would be expected to increase blood levels of the R(+) enantiomer of carvedilol ."
EQUETROTM,levothyroxine,mechanism,High,1,"Agents that have been found, or are expected to have decreased plasma levels in the presence of EQUETROTM due to induction of CYP enzymes are the following: Acetaminophen, alprazolam, amitriptyline, bupropion, buspirone, citalopram, clobazam, clonazepam, clozapine, cyclosporin, delavirdine, desipram"
benzodiazepines,monoamine oxidase inhibitors,effect,Moderate,2,"The action of the benzodiazepines may be potentiated by anticonvulsants, antihistamines, alcohol, barbiturates, monoamine oxidase inhibitors, narcotics, phenothiazines, psychotropic medications, or other drugs that produce CNS depression."
phenothiazines,dopamine,effect,Moderate,1,Butyrophenones (such as haloperidol) and phenothiazines can suppress the dopaminergic renal and mesenteric vasodilation induced with low dose dopamine infusion.
corticosteroid,inactivated vaccines,effect,Moderate,1,Vaccines: Patients on corticosteroid therapy may exhibit a diminished response to toxoids and live or inactivated vaccines due to inhibition of antibody response.
amprenavir,methadone,effect,Moderate,2,Methadone: Coadministration of amprenavir and methadone can decrease plasma levels of methadone.
Levo-Dromoran,antihistamines,effect,Moderate,1,"Interactions with Other CNS Agents: Concurrent use of Levo-Dromoran with all central nervous system depressants (eg, alcohol, sedatives, hypnotics, other opioids, general anesthetics, barbiturates, tricyclic antidepressants, phenothiazines, tranquilizers, skeletal muscle relaxants and antihistamines"
escitalopram,Celexa,advise,Moderate,1,"Concomitant Administration with Racemic Citalopram Citalopram - Since escitalopram is the active isomer of racemic citalopram (Celexa), the two agents should not be coadministered."
Angiomax,thrombolytics,effect,Moderate,1,"In clinical trials in patients undergoing PTCA/PCI, co-administration of Angiomax with heparin, warfarin, thrombolytics or glycoprotein IIb/IIIa inhibitors was associated with increased risks of major bleeding events compared to patients not receiving these concomitant medications."
rifampicin,isradipine,mechanism,High,2,"If rifampicin therapy is required, isradipine concentrations and therapeutic effects are likely to be markedly reduced or abolished as a consequence of increased metabolism and higher clearance of isradipine."
CANCIDAS,efavirenz,mechanism,High,2,"In addition, results from regression analyses of patient pharmacokinetic data suggest that co-administration of other inducers of drug clearance (efavirenz, nevirapine, phenytoin, dexamethasone, or carbamazepine) with CANCIDAS may result in clinically meaningful reductions in caspofungin concentrati"
Isoflurane,nondepolarizing muscle relaxants,effect,Moderate,1,"Isoflurane potentiates the muscle relaxant effect of all muscle relaxants, most notably nondepolarizing muscle relaxants, and MAC (minimum alveolar concentration) is reduced by concomitant administration of N 2O."
Sildenafil,long-acting nitrates,advise,Moderate,1,"Sildenafil is contraindicated in patients using long-acting nitrates or who may need to use short-acting nitrates, because the combination may cause a sharp fall of the blood pressure."
Netilmicin,furosemide,advise,Moderate,1,Netilmicin should not be administered concomitantly with potent loop diuretics such as furosemide and ethacrynic acid as the potential for ototoxicity is enhanced by the combination.
doxazosin,cimetidine,mechanism,High,1,"In a placebo-controlled trial in normal volunteers, the administration of a single 1 mg dose of doxazosin on day 1 of a four-day regimen of oral cimetidine (400 mg twice daily) resulted in a 10% increase in mean AUC of doxazosin (p=0.006), and a slight but not statistically significant increase in m"
Chlorotrianisene,antidepressants,int,Low,1,"Chlorotrianisene may interact with antidepressants, aspirin, barbiturates, bromocriptine, calcium supplements, corticosteroids, corticotropin, cyclosporine, dantrolene, nicotine, somatropin, tamoxifen, and warfarin."
ketoconazole,VIDEX,advise,Moderate,1,Drugs Whose Absorption Can Be Affected by the Level of Acidity in the Stomach: Drugs such as ketoconazole and itraconazole should be administered at least 2 hours prior to dosing with VIDEX.
NUROMAX,quinidine,effect,Moderate,1,"Other drugs which may enhance the neuromuscular blocking action of nondepolarizing agents such as NUROMAX include certain antibiotics (e. g., aminoglycosides, tetracyclines, bacitracin, polymyxins, lincomycin, clindamycin, colistin, and sodium colistimethate), magnesium salts, lithium, local anesthe"
anticoagulant,indomethacin,effect,Moderate,1,"Drugs that reportedly may increase oral anticoagulant response, ie, increased prothrombin response, in man include:alcohol*;allopurinol;aminosalicylic acid;amiodarone;anabolic steroids;antibiotics;bromelains;chloral hydrate*;chlorpropamide;chymotrypsin;cimetidine;cinchophen;clofibrate;dextran;dextro"
Sonata,cimetidine,mechanism,High,1,Concomitant administration of Sonata (10 mg) and cimetidine (800 mg) produced an 85% increase in the mean Cmax and AUC of zaleplon.
glimepiride,salicylate,advise,Moderate,1,"Before taking glimepiride, tell your doctor if you are taking any of the following medicines: - aspirin or another salicylate such as magnesium/choline salicylate (Trilisate), salsalate (Disalcid, others), choline salicylate (Arthropan), magnesium salicylate (Magan), or bismuth subsalicylate (Pepto-"
anticoagulant,Bezalip,advise,Moderate,2,"For this reason, the dose of the anticoagulant should be reduced by 30 - 50% at the start of treatment with Bezalip or Bezalip retard and then titrated according to the blood clotting parameters"
nonsteroial anti-inflammatory drugs,cyclosporine,mechanism,High,1,"Cyclosporine: Administration of nonsteroial anti-inflammatory drugs concomitantly with cyclosporine has been associated with an increase in cyclosporine-induced toxicity, possibly due to decreased synthesis of renal prostacyclin."
ethanol,Antizol,mechanism,High,2,"Oral doses of Antizol (10-20 mg/kg), via alcohol dehydrogenase inhibition, significantly reduced the rate of elimination of ethanol (by approximately 40%) given to healthy volunteers in moderate doses."
potassium-sparing antihypertensives,NSAIDs,effect,Moderate,1,The administration of other potassium-sparing antihypertensives with NSAIDs has been shown to reduce the antihypertensive effect in some patients and result in severe hyperkalemia in patients with impaired renal function.
Digitalis,Bretylium Tosylate,effect,Moderate,1,Digitalis toxicity may be aggravated by the initial release of norepinephrine caused by Bretylium Tosylate Injection.
anticoagulant,vitamin K,effect,Moderate,1,"Drugs that have been reported to diminish oral anticoagulant response, ie, decreased prothrom-bin time response, in man significantly include: adrenocortical steroids;alcohol*;antacids;antihistamines;barbiturates;carbamazepine;chloral hydrate*;chlordiazepoxide;cholestyramine;diet high in vitamin K;d"
Combination hormonal contraceptives,selegiline,mechanism,High,1,Selegiline: Combination hormonal contraceptives may increase the serum concentration of selegiline.
INDOCIN,digoxin,advise,Moderate,2,"Therefore, when INDOCIN and digoxin are used concomitantly, serum digoxin levels should be closely monitored."
tetracyclines,penicillins,effect,Moderate,1,"Bacteriostatic Antibiotics: Chloramphenicol, erythromycins, sulfonamides, or tetracyclines may interfere with the bactericidal effect of penicillins."
Etofibrate,heparin,effect,Moderate,1,Etofibrate elicited 62% enhancement of post-heparin lipolytic activity and 100% increase of 3H-triglyceride fractional clearance rate compared with placebo treatment.
eplerenone,saquinavir,mechanism,High,1,"Administration of eplerenone with other CYP3A4 inhibitors (e.g., erythromycin 500 mg BID, verapamil 240 mg QD, saquinavir 1200 mg TID, fluconazole 200 mg QD) resulted in increases in Cmax of eplerenone ranging from 1.4- to 1.6- fold and AUC from 2.0- to 2.9- fold."
estradiol,noradrenaline,effect,Moderate,2,"Aortic rings with intact endothelium from the high-dose (4 mg/kg/day) estradiol group were supersensitive to noradrenaline compared to the vehicle or low-dose (10 microg/kg/day) estradiol groups (pD2 values = 7.86+/-0.09, 7.30+/-0.11 and 7.35+/-0.04, respectively)."
TRICOR,HMG-CoA reductase inhibitors,advise,Moderate,1,HMG-CoA reductase inhibitors: The combined use of TRICOR and HMG-CoA reductase inhibitors should be avoided unless the benefit of further alterations in lipid levels is likely to outweigh the increased risk of this drug combination.
allopurinol,chlorpropamide,mechanism,High,3,"Chlorpropamide: Chlorpropamides plasma half-life may be prolonged by allopurinol, since allopurinol and chlorpropamide may compete for excretion in the renal tubule."
diltiazem,TIKOSYN,advise,Moderate,1,"Inhibitors of this isoenzyme (e.g., macrolide antibiotics, azole antifungal agents, protease inhibitors, serotonin reuptake inhibitors, amiodarone, cannabinoids, diltiazem, grapefruit juice, nefazadone, norfloxacin, quinine, zafirlukast) should be cautiously coadministered with TIKOSYN as they can p"
